Disease,Medication
AIDS,"['Tenofovir', 'Lamivudine', 'Dolutegravir', 'Cotrimoxazole']"
Acne,"['Benzoyl peroxide', 'Tretinoin', 'Adapalene', 'Doxycycline', 'Clindamycin']"
Acute_kidney_injury,"['IV fluids', 'Furosemide', 'Dialysis']"
Alzheimer disease,"['Donepezil', 'Rivastigmine', 'Memantine']"
Anemia,"['Ferrous sulfate', 'Folic acid', 'Vitamin B12', 'Blood transfusion']"
Ankylosing_spondylitis,"['Ibuprofen', 'Naproxen', 'Adalimumab']"
Anxiety disorder,"['Fluoxetine', 'Sertraline', 'Diazepam', 'Cognitive Behavioral Therapy']"
Appendicitis,"['Appendectomy', 'Ceftriaxone', 'Metronidazole']"
Asthma,"['Salbutamol', 'Beclomethasone', 'Budesonide', 'Prednisolone']"
Bell palsy,"['Prednisolone', 'Artificial tears', 'Acyclovir']"
Bronchitis,"['Paracetamol', 'Amoxicillin']"
COVID-19,"['Paracetamol', 'Dexamethasone', 'Oxygen therapy', 'Remdesivir']"
Cataract,"['Surgical lens replacement', 'Antibiotic eye drops', 'Corticosteroid eye drops']"
Celiac_disease,"['Gluten-free diet', 'Iron supplements', 'Folic acid', 'Calcium supplements']"
Cervical spondylosis,"['Paracetamol', 'Ibuprofen', 'Naproxen', 'Muscle relaxants']"
Cholera,"['Oral Rehydration Salts (ORS)', 'IV fluids', 'Azithromycin', 'Doxycycline', 'Zinc supplements']"
Chronic Obstructive Pulmonary Disease,"['Salbutamol', 'Ipratropium', 'Budesonide', 'Prednisolone', 'Oxygen therapy']"
Chronic kidney disease,"['ACE inhibitors', 'Furosemide', 'Erythropoietin', 'Iron supplements', 'Dialysis']"
Chronic_cholestasis,"['Ursodeoxycholic acid', 'Cholestyramine', 'Vitamin supplements (A, D, E, K)']"
Cirrhosis,"['Spironolactone', 'Furosemide', 'Lactulose', 'Propranolol', 'Vitamin supplements']"
Common Cold,"['Paracetamol', 'Antihistamines', 'Decongestants', 'Cough syrup']"
Conjunctivitis,"['Chloramphenicol eye drops', 'Erythromycin eye ointment', 'Artificial tears']"
Coronary artery disease,"['Aspirin', 'Atorvastatin', 'Nitroglycerin', 'Metoprolol', 'ACE inhibitors']"
Crohn disease,"['Prednisolone', 'Sulfasalazine', 'Azathioprine', 'Infliximab']"
Deep_vein_thrombosis,"['Heparin', 'Enoxaparin', 'Warfarin', 'Rivaroxaban']"
Dengue,"['Paracetamol', 'Oral Rehydration Salts (ORS)', 'IV fluids']"
Depression,"['Fluoxetine', 'Sertraline', 'Amitriptyline', 'Cognitive Behavioral Therapy']"
Diabetes mellitus,"['Metformin', 'Insulin', 'Glibenclamide']"
Eczema,"['Hydrocortisone cream', 'Betamethasone cream', 'Antihistamines', 'Moisturizers']"
Encephalitis,"['Acyclovir', 'Anticonvulsants', 'Paracetamol', 'IV fluids']"
Endocarditis,"['Penicillin', 'Ceftriaxone', 'Vancomycin', 'Gentamicin']"
Endometriosis,"['Sodium valproate', 'Carbamazepine', 'Phenytoin', 'Phenobarbital']"
Epilepsy,"['Sodium valproate', 'Carbamazepine', 'Phenytoin', 'Phenobarbital']"
Erectile_dysfunction,"['Sildenafil', 'Tadalafil']"
Food_poisoning,"['Oral Rehydration Salts (ORS)', 'IV fluids', 'Azithromycin', 'Ciprofloxacin']"
GERD,"['Omeprazole', 'Pantoprazole', 'Ranitidine', 'Antacids']"
Gallbladder_infection,"['Ceftriaxone', 'Metronidazole', 'Pain relievers', 'Cholecystectomy']"
Gallstones,"['Ursodeoxycholic acid', 'Pain relievers', 'Cholecystectomy']"
Gastroenteritis,"['Oral Rehydration Salts (ORS)', 'Zinc supplements', 'IV fluids', 'Ondansetron']"
Glaucoma,"['Timolol eye drops', 'Latanoprost eye drops', 'Acetazolamide', 'Pilocarpine eye drops', 'Surgical trabeculectomy']"
Gout,"['Ibuprofen', 'Colchicine', 'Allopurinol', 'Prednisolone']"
Guillain-Barre_syndrome,"['Intravenous immunoglobulin (IVIG)', 'Plasma exchange', 'Paracetamol']"
HIV infection,"['Tenofovir', 'Lamivudine', 'Dolutegravir', 'Cotrimoxazole']"
Heart attack,"['Tenofovir', 'Lamivudine', 'Dolutegravir', 'Cotrimoxazole']"
Heart failure,"['Aspirin', 'Clopidogrel', 'Nitroglycerin', 'Atorvastatin', 'Heparin']"
Heatstroke,"['Furosemide', 'Enalapril', 'Spironolactone', 'Metoprolol', 'Digoxin']"
Hepatitis A,"['IV fluids', 'Paracetamol', 'Cooling therapy']"
Hepatitis B,"['Paracetamol', 'IV fluids', 'Vitamin supplements']"
Hepatitis C,"['Tenofovir', 'Entecavir', 'Interferon']"
Hepatitis E,"['Sofosbuvir', 'Daclatasvir', 'Ribavirin']"
Hypertension,"['Amlodipine', 'Enalapril', 'Losartan', 'Hydrochlorothiazide']"
Hyperthyroidism,"['Methimazole', 'Propylthiouracil', 'Propranolol']"
Hypoglycemia,"['Oral glucose', 'IV dextrose', 'Glucagon']"
Hypothermia,"['Warm IV fluids', 'Oxygen therapy']"
Hypothyroidism,['Levothyroxine']
Impetigo,"['Mupirocin ointment', 'Flucloxacillin', 'Amoxicillin']"
Influenza(FLU),"['Oseltamivir', 'Paracetamol', 'IV fluids']"
Irritable bowel syndrome,"['Dicycloverine', 'Loperamide', 'Amitriptyline']"
Kidney stones,"['Ibuprofen', 'Tamsulosin', 'Potassium citrate']"
Laryngitis,"['Paracetamol', 'Ibuprofen', 'Corticosteroids']"
Leukemia,"['Methotrexate', 'Cyclophosphamide', 'Imatinib']"
Lymphoma,"['Cyclophosphamide', 'Doxorubicin', 'Rituximab']"
Malaria,"['Artemether-lumefantrine', 'Artesunate', 'Chloroquine']"
Measles,"['Vitamin A', 'Paracetamol', 'IV fluids']"
Meningitis,"['Ceftriaxone', 'Penicillin', 'Vancomycin', 'Dexamethasone']"
Migraine,"['Paracetamol', 'Ibuprofen', 'Sumatriptan', 'Propranolol']"
Multiple_sclerosis,"['Interferon beta', 'Methylprednisolone']"
Mumps,"['Paracetamol', 'Ibuprofen', 'IV fluids']"
Nephrotic_syndrome,"['Prednisolone', 'Furosemide', 'Enalapril']"
Obesity,"['Orlistat', 'Metformin']"
Osteoarthritis,"['Paracetamol', 'Ibuprofen', 'Diclofenac']"
Osteoporosis,"['Calcium supplements', 'Vitamin D', 'Alendronate']"
Otitis media,"['Amoxicillin', 'Paracetamol', 'Ibuprofen']"
Pancreatitis,"['IV fluids', 'Paracetamol', 'Morphine']"
Parkinson disease,"['Omeprazole', 'Amoxicillin', 'Clarithromycin']"
Peptic ulcer disease,"['Ibuprofen', 'Colchicine', 'Prednisolone']"
Pericarditis,"['Ibuprofen', 'Colchicine', 'Prednisolone']"
Pneumonia,"['Amoxicillin', 'Azithromycin', 'Ceftriaxone', 'Oxygen therapy']"
Polycystic_ovary_syndrome,"['Metformin', 'Oral contraceptive pills', 'Clomiphene']"
Prostate_enlargement,"['Tamsulosin', 'Finasteride']"
Psoriasis,"['Betamethasone cream', 'Methotrexate', 'Calcipotriol']"
Pulmonary_embolism,"['Heparin', 'Warfarin', 'Rivaroxaban']"
Rabies,"['Rabies vaccine', 'Rabies immunoglobulin']"
Rheumatoid arthritis,"['Methotrexate', 'Sulfasalazine', 'Prednisolone', 'Ibuprofen']"
Rubella,"['Paracetamol', 'IV fluids']"
Schizophrenia,"['Haloperidol', 'Risperidone', 'Olanzapine']"
Sepsis,"['Ceftriaxone', 'Vancomycin', 'IV fluids', 'Oxygen therapy']"
Sickle_cell_disease,"['Hydroxyurea', 'Folic acid', 'Penicillin', 'Pain relievers']"
Sinusitis,"['Amoxicillin', 'Paracetamol', 'Nasal decongestants']"
Stroke,"['Aspirin', 'Clopidogrel', 'Alteplase', 'Atorvastatin']"
Systemic_lupus_erythematosus,"['Hydroxychloroquine', 'Prednisolone', 'Azathioprine']"
Tetanus,"['Tetanus immunoglobulin', 'Metronidazole', 'Diazepam']"
Thalassemia,"['Folic acid', 'Iron chelators', 'Blood transfusion']"
Tonsillitis,"['Penicillin', 'Amoxicillin', 'Paracetamol']"
Tuberculosis,"['Isoniazid', 'Rifampicin', 'Pyrazinamide', 'Ethambutol']"
Tuberculosis meningitis,"['Isoniazid', 'Rifampicin', 'Pyrazinamide', 'Ethambutol', 'Dexamethasone']"
Typhoid,"['Ceftriaxone', 'Azithromycin', 'Ciprofloxacin']"
Ulcerative colitis,"['Sulfasalazine', 'Prednisolone', 'Azathioprine']"
Urinary tract infection,"['Nitrofurantoin', 'Cotrimoxazole', 'Ciprofloxacin']"
Varicose veins,"['Compression stockings', 'Pain relievers']"
Vertigo,"['Betahistine', 'Meclizine', 'Diazepam']"